searchstring	count	is_fixed	fixed_searchstring	productcount	predicted_productcount
Цепь металическая	1	True	цепь металлическая	0	0
Хэппи дог мини	1	True	happy dog mini	0	13
Хэппи дог	1	True	happy dog	0	17
Хилс к/d 1.5 кг.	1	True	хилс k/d 1.5 кг.	0	0
Хиллс кд	1	True	hill's кд	0	17
Хиллс баланс	1	True	hill's balance	0	0
Хелвет Кантарен р-р для перорального применения 20мл	1	True	хелвет кантарен рр для перорального применения 20 мл	0	0
Фитокомплекс очистительный ведп	1	True	фитокомплекс очистительный веда	0	0
Фит форте	1	True	fit форте	0	0
Феликс сухой	1	True	felix сухой	0	0
Сцмка	1	True	сумка	0	2
Супер коат	1	True	super коат	0	0
Сумка для лакомств	1	True	сумка для лакомство	0	0
Строгий металлический ошейникй	1	True	строгий металлический ошейник	0	0
СОЛЬФАК 1Л	1	True	сольфак 1 л	0	0
Рюкзак 3в одном	1	True	рюкзак 3d одном	0	0
Роял канин кошка	1	True	royal canin кошка	0	0
Роял канен	1	True	royal канен	0	0
Роял	1	True	royal	0	18
Профикс фит	1	True	профикс fit	0	0
Превикокс ,	1	True	превикокс,	0	0
Попугаи ветеринарные припараты	1	True	попугаи ветеринарные препараты	0	0
Перфеут сухой для кошкк	1	True	gthaten сухой для кошек	0	0
Переноска для животных Blue Berry 56х37х35 см	1	True	переноска для животных blueberry 56х37х35 см	0	0
Пеленка многоразовая	1	True	пелёнка многоразовая	0	0
Пеленка впитывающая многоразовая	1	True	пелёнка впитывающая многоразовая	0	0
Ошейниа	1	True	ошейника	0	0
Наполнитель селикагелевый Percato	1	True	наполнитель силикагелевый percato	0	0
Мокрый хэппи дог	1	True	мокрый happy dog	0	0
Метаболик Хиллс 4 кг для кошек	1	True	metabolic hill's 4 кг для кошек	0	0
Мальта софт экстра	1	True	мальта софт extra	0	0
Мальт Софт	1	True	malt софт	0	0
Лавета супер	1	True	лавета super	0	0
Кошкаи корм	1	True	кошка корм	0	0
Корм сухой Happy Dog "Африка"	1	True	корм сухой happy dog "africa"	0	0
Корм монж  лосось туне	1	True	корм monge лосось тунец	0	0
Корм кон для котят Меню № 1	1	True	корм кон для котят меню №1	0	0
Корм для собак монж	1	True	корм для собак monge	0	12
Корм для собак беркли	1	True	корм для собак berkley	0	0
Корм Hill's Science Plan 15кг	1	True	корм hill's science plan 15 кг	0	0
Корм Acan	1	True	корм acana	0	14
Капли для кошек блрх	1	True	капли для кошек блох	0	14
Канвит Биокаль Плюс	1	True	канвит биокаль plus	0	0
Канами хондро макси	1	True	канами хондро maxi	0	0
Кальйций для рептилий	1	True	кальций для рептилий	0	0
Инспектор	1	True	inspector	0	6
Игрушки доя птиц	1	True	игрушки для птиц	0	0
Игровой комлекс	1	True	игровой комплекс	0	0
Ив сан бернард	1	True	и в сан бернард	0	0
Зеленая далина	1	True	зеленая длина	0	0
Евер клеан	1	True	евер clean	0	0
Домик для грызуна	1	True	домик для грызунам	0	0
Дог ланч	1	True	dog ланч	0	0
Гурмет голд	1	True	gourmet gold	0	18
Грунт для сухопутной черепахи	1	True	грунт для сухопутной черепах и	0	0
Гамарус	1	True	гаммарус	0	0
Гамак длч кошек на батарею	1	True	гамак для кошек на батарею	0	0
ГАСТРО	1	True	gastro	0	28
Влажный хэппи дог	1	True	влажный happy dog	0	0
Влажный корм для кошек Феликс	1	True	влажный корм для кошек felix	0	0
Ви си клозет	1	True	ви с и клозет	0	0
Веткорм farmina струвит	1	True	веткорм farmina struvit	0	0
Бош санабелль	1	True	bosch санабелль	0	0
Беркли	1	True	berkley	0	17
Аквариум для черепахи	1	True	аквариум для черепах и	0	0
Аква принадлежности	1	True	aqua принадлежности	0	0
Аква меню	1	True	aqua меню	0	0
Аква аксесуары	1	True	aqua аксессуары	0	0
yj,bdfr	1	True	нобивак	0	0
vfckj kjcjcz	1	True	масло лосося	0	0
vetlife	1	True	vet life	0	7
utkmvbynfk	1	True	гельминтал	0	0
urinary s/o lp 34 фасовка 1.5 кг	1	True	urinary s/o lp34 фасовка 1.5 кг	0	0
uht,tym	1	True	гребень	0	1
royal canin уринари для собак	1	True	royal canin urinary для собак	0	3
royal canin для британских кошек 2кг	1	True	royal canin для британских кошек 2 кг	0	0
royal canin s/o lkz cj,fr	1	True	royal canin s/o для собак	0	15
royal canin pappi	1	True	royal canin puppi	0	0
royal canin lkz rjitr	1	True	royal canin для кошек	0	17
royal canin junior labrador retriver до 15 мес	1	True	royal canin junior labrador retriever до 15 мес	0	0
royal canin junior labrador retriver	1	True	royal canin junior labrador retriever	0	0
royal canin gstrointestinal	1	True	royal canin gastrointestinal	0	0
roal canin	1	True	royal canin	0	17
rjhveirb d rktnre gnbws	1	True	кормушки d клетку птицы	0	0
rjhv ce[jq 15 ru	1	True	корм сухой 15 кг	0	18
rjhpbyf	1	True	корзина	0	0
repti glo	1	True	reptil glo	0	0
recavery	1	True	recovery	0	1
lekbtyn	1	True	дулиент	0	0
kitecat	1	True	kitekat	0	12
gina elit	1	True	gina elite	0	0
freshstep	1	True	fresh step	0	2
farmina VetLife Dog Struvite	1	True	farmina vet life dog struvite	0	0
dbnfvbys lkz rjitr	1	True	витамины для кошек	0	0
cbyekjrc	1	True	синулокс	0	0
cRDJHTXYBR	1	True	скворечник	0	0
afhvbyf  ehbyfhb	1	True	farmina urinary	0	0
acana 11кг	1	True	acana 11 кг	0	13
Royal cannin сухой корм для кошек	1	True	royal canin сухой корм для кошек	0	0
Royal canin для клшек	1	True	royal canin для кошек	0	17
Royal Canin kittten	1	True	royal canin kitten	0	14
Royal Canin Recavery	1	True	royal canin recovery	0	0
Repti glo	1	True	reptil glo	0	0
ROYAL CANIN (Роял Канин) French Bulldog	1	True	royal canin royal canin) french bulldog	0	0
RJUNTHTPRB LKZ CJ,FR	1	True	когтерезки для собак	0	0
One мини	1	True	one mini	0	64
Happy Cat Adult Indoor Voralpen Rind	1	True	happy cat adult indoor voralpen-rind	0	0
Exo Terra Repti Glo 10.0	1	True	exo terra reptil glo 10.0	0	0
Cat's best Nature Gold	1	True	cats best nature gold	0	0
AQUABALANCE Тотал	1	True	aquabalance total	0	0
5м поводк	1	True	5м поводок	0	0
 мексидол вет	1	True	мексидол vet	0	0
royal canin	414	False	royal canin	17	17
клетка для грызунов	253	False	клетка для грызунов	17	17
royal canin для кошек	233	False	royal canin для кошек	17	17
happy dog	203	False	happy dog	17	17
happy cat	201	False	happy cat	17	17
наполнитель кошачий	145	False	наполнитель кошачий	16	16
savarra	142	False	savarra	11	11
farmina	100	False	farmina	13	13
клетка для попугаев	97	False	клетка для попугаев	16	16
hill's	94	False	hill's	17	17
аквариум	85	False	аквариум	7	7
best dinner	84	False	best dinner	17	17
ошейники для собак	82	False	ошейники для собак	11	11
monge для собак	70	False	monge для собак	15	15
royal canin для собак	69	False	royal canin для собак	15	15
monge	69	False	monge	15	15
pro plan кошек	63	False	pro plan кошек	17	17
foresto	61	False	foresto	2	2
pro plan	60	False	pro plan	17	17
holistic blend	54	False	holistic blend	6	6
brit	51	False	brit	13	13
Monge	50	False	Monge	15	15
ошейник	50	False	ошейник	14	14
наполнитель	49	False	наполнитель	17	17
farmina n&d	49	False	farmina n&d	13	13
шампунь для собак	48	False	шампунь для собак	13	13
ветмедин	46	False	ветмедин	0	0
Синулокс	40	False	Синулокс	0	0
москва	39	False	москва	53	53
клетка	39	False	клетка	3	3
Brit	38	False	Brit	13	13
Ошейник	37	False	Ошейник	14	14
gourmet	36	False	gourmet	14	14
fresh step	36	False	fresh step	2	2
animonda для кошек	35	False	animonda для кошек	13	13
когтеточка	35	False	когтеточка	7	7
синулокс	34	False	синулокс	0	0
hill's prescription diet	32	False	hill's prescription diet	15	15
переноска	32	False	переноска	3	3
дронтал	32	False	дронтал	0	0
pro plan для кошек	31	False	pro plan для кошек	17	17
brit care	30	False	brit care	18	18
лакомство для собак	30	False	лакомство для собак	16	16
Farmina	30	False	Farmina	13	13
шлейка для собак	30	False	шлейка для собак	8	8
Аквариум	29	False	Аквариум	7	7
prolife	28	False	prolife	16	16
пеленки	28	False	пеленки	1	1
рыбки	28	False	рыбки	0	0
корм для котят	27	False	корм для котят	17	17
Шампунь	27	False	Шампунь	15	15
almo nature	27	False	almo nature	13	13
acana	27	False	acana	13	13
Ветмедин	27	False	Ветмедин	0	0
наполнители для туалетов	26	False	наполнители для туалетов	17	17
Москва	25	False	Москва	53	53
golosi	25	False	golosi	15	15
лоток для кошек	25	False	лоток для кошек	14	14
Наполнитель	24	False	Наполнитель	17	17
renal	24	False	renal	8	8
Мильбемакс	24	False	Мильбемакс	0	0
колесо для грызунов	23	False	колесо для грызунов	17	17
игрушки для собак	23	False	игрушки для собак	17	17
мильбемакс	23	False	мильбемакс	0	0
сухой корм для кастрированных котов	22	False	сухой корм для кастрированных котов	17	17
паштет	22	False	паштет	16	16
домик для грызунов	22	False	домик для грызунов	16	16
барс	22	False	барс	15	15
четвероногий гурман	22	False	четвероногий гурман	13	13
намордник	22	False	намордник	10	10
одежда	22	False	одежда	0	0
когтерезки	22	False	когтерезки	0	0
каниквантел	22	False	каниквантел	0	0
лакомства	21	False	лакомства	17	17
счастливый пес	21	False	счастливый пес	14	14
стоп-цистит	21	False	стоп-цистит	2	2
шлейка	20	False	шлейка	17	17
Happy dog	20	False	Happy dog	17	17
деревенские лакомства	20	False	деревенские лакомства	16	16
фурминатор	20	False	фурминатор	14	14
рулетка для собак	20	False	рулетка для собак	13	13
beaphar	20	False	beaphar	13	13
gastro intestinal	20	False	gastro intestinal	9	9
go	20	False	go	7	7
Go	20	False	Go	7	7
royal canin renal	20	False	royal canin renal	4	4
Grandorf	20	False	Grandorf	0	0
клетки для грызунов	19	False	клетки для грызунов	17	17
игрушки	19	False	игрушки	17	17
urinary	19	False	urinary	14	14
Acana	19	False	Acana	13	13
farmina для кошек	19	False	farmina для кошек	11	11
monge для кошек	19	False	monge для кошек	4	4
обувь	19	False	обувь	0	0
purina pro plan	18	False	purina pro plan	14	14
коньково	18	False	коньково	13	13
purina	18	False	purina	9	9
Клетка	18	False	Клетка	3	3
поводок	18	False	поводок	0	0
stronghold	17	False	stronghold	5	5
бравекто	17	False	бравекто	4	4
алезан	17	False	алезан	2	2
наполнитель №1	16	False	наполнитель №1	17	17
